Data;Rondonia;Acre;Amazonas;Roraima;Para;Amapa;Tocantins;Maranhao;Piaui;Ceara;Rio Grande do Norte;Paraiba;Pernambuco;Alagoas;Sergipe;Bahia;Minas Gerais;Espirito Santo;Rio de Janeiro;Sao Paulo;Parana;Santa Catarina;Rio Grande do Sul;Mato Grosso do Sul;Mato Grosso;Goias;Distrito Federal
out/01;316.92;320.30;367.17;430.06;336.46;348.96;348.58;315.66;275.23;312.74;298.02;293.07;319.13;352.09;279.03;331.00;316.55;293.81;379.22;396.61;372.23;344.83;357.93;324.16;320.44;330.22;369.11
nov/01;319.28;326.01;367.84;443.53;337.79;349.56;351.86;318.73;277.39;314.92;305.88;294.68;321.67;354.50;280.49;332.60;317.50;294.87;382.71;397.94;373.55;345.92;359.26;324.27;321.25;330.88;370.05
dez/01;321.35;329.68;372.11;445.45;345.85;350.39;356.05;321.21;285.54;316.78;306.61;296.09;324.10;354.67;282.11;334.19;331.09;295.55;384.20;398.38;374.58;347.15;359.58;328.19;323.34;333.33;370.79
jan/02;321.93;333.38;375.71;447.36;349.41;352.23;359.62;325.38;288.83;319.18;309.85;299.02;325.97;358.09;284.19;335.11;334.24;296.57;384.85;400.50;375.92;351.61;361.00;330.90;328.09;335.18;372.33
fev/02;322.59;334.70;376.16;447.48;352.17;353.57;362.42;328.66;289.34;320.33;310.10;300.44;327.09;359.56;291.04;336.09;336.04;296.86;386.46;401.22;377.81;353.00;362.07;332.79;328.99;338.02;372.70
mar/02;322.79;335.20;377.70;450.46;352.30;354.10;362.58;329.67;290.61;320.43;310.90;302.98;328.51;360.91;292.87;350.08;336.42;297.92;405.36;402.41;378.30;354.58;363.28;333.58;330.12;339.84;375.30
abr/02;323.63;338.20;379.73;453.97;352.75;354.71;366.15;333.75;292.17;333.24;314.15;304.97;329.01;361.07;296.79;351.59;337.23;299.04;405.76;402.99;378.64;355.45;363.38;334.14;331.70;340.94;376.94
mai/02;324.18;339.42;380.03;456.58;353.85;354.92;367.95;337.09;292.16;333.40;315.56;314.57;329.38;363.16;298.07;353.19;337.75;299.53;406.43;413.41;378.90;357.01;363.54;337.03;333.94;353.64;378.24
jun/02;324.24;340.65;380.18;457.46;355.36;356.19;370.88;339.36;292.52;334.88;317.27;319.33;330.03;377.03;302.49;354.87;338.54;308.77;407.26;422.16;381.64;364.56;363.60;345.74;335.51;356.52;404.53
jul/02;324.27;350.33;380.34;457.69;356.23;359.59;373.32;341.41;292.99;336.38;317.78;319.43;331.61;379.91;302.55;355.76;340.28;310.46;407.81;424.26;383.28;365.98;374.98;347.01;336.33;356.55;408.97
ago/02;325.92;355.04;389.97;458.18;356.87;366.14;375.84;350.45;295.59;340.03;320.59;322.56;333.25;382.59;305.24;357.34;341.98;311.60;408.82;428.48;385.49;366.99;378.53;349.96;338.45;356.92;409.78
set/02;339.04;361.63;398.02;461.01;367.70;367.98;392.35;351.66;298.95;341.64;325.30;330.13;335.22;382.95;307.79;359.73;344.54;312.77;409.21;431.68;405.48;369.86;381.08;354.06;353.56;361.75;416.00
out/02;345.27;363.67;404.31;479.17;371.26;368.53;393.84;355.10;302.34;344.98;327.71;332.85;339.85;386.99;309.16;363.86;347.52;314.53;412.77;433.78;406.12;371.14;386.06;355.30;363.16;366.46;420.13
nov/02;348.94;371.57;408.40;483.04;377.36;373.14;397.86;357.26;306.47;349.57;331.84;335.27;357.40;392.38;321.97;369.14;354.60;323.53;421.14;442.10;413.67;377.57;392.61;361.59;370.65;370.43;427.07
dez/02;359.83;382.56;416.40;494.32;386.81;382.70;408.40;366.19;316.60;360.03;349.33;355.11;366.00;405.53;332.79;378.49;377.80;333.41;429.84;451.16;424.38;389.75;404.50;374.30;378.41;380.22;434.47
jan/03;365.66;387.89;424.62;502.50;391.16;388.16;415.31;381.71;330.79;364.01;358.28;362.26;373.65;409.96;338.47;384.68;386.55;341.12;434.54;457.57;433.05;398.62;412.75;385.14;385.18;389.84;443.60
fev/03;373.17;391.91;427.53;503.89;397.13;391.38;419.58;389.09;338.47;368.84;363.97;366.90;377.75;414.78;342.81;390.02;392.39;345.47;441.29;462.25;435.54;402.25;419.11;390.88;388.45;392.99;449.31
mar/03;374.31;396.07;429.48;506.39;404.68;393.56;424.58;392.98;340.04;372.82;368.82;372.33;379.80;418.79;345.46;417.28;393.11;348.79;445.77;466.14;436.72;404.06;421.14;395.29;388.82;396.20;450.18
abr/03;376.95;401.42;432.72;508.67;405.83;397.79;425.99;398.71;346.24;374.17;375.25;374.77;381.91;421.32;354.75;418.89;396.18;352.23;475.57;470.45;440.37;409.81;425.40;397.73;393.15;398.34;452.90
mai/03;378.88;419.98;433.88;517.29;409.23;398.74;431.57;399.29;352.38;388.77;377.18;380.85;384.48;423.32;356.75;420.39;397.94;358.95;478.56;495.04;442.92;411.96;427.61;401.02;394.71;401.54;482.28
jun/03;398.31;420.64;434.05;520.41;409.60;407.04;435.48;402.36;354.80;389.16;378.32;384.27;387.87;440.05;357.27;420.98;400.49;376.83;483.44;501.47;444.55;441.09;438.07;426.67;395.75;426.82;487.41
jul/03;398.34;423.11;453.59;521.52;410.86;407.53;457.02;404.43;355.70;390.93;380.28;386.67;388.31;441.94;372.23;421.94;401.79;378.74;484.71;504.91;470.23;444.00;441.50;429.10;397.64;426.98;490.66
ago/03;401.01;425.15;454.55;521.68;411.70;409.58;460.63;414.36;360.43;393.86;380.58;386.83;388.88;442.06;372.83;423.43;404.61;379.62;494.88;514.65;472.78;448.63;443.95;431.70;400.66;427.96;491.98
set/03;401.74;425.90;455.94;539.45;412.43;409.88;461.45;417.65;360.85;395.29;381.39;387.72;389.71;442.46;374.36;424.08;405.87;385.67;498.15;516.73;472.90;449.90;446.06;434.21;407.02;430.89;495.20
out/03;403.12;429.28;456.06;539.77;424.82;412.22;461.58;421.97;363.07;395.44;382.55;390.77;391.96;442.76;375.10;424.68;406.18;386.81;499.85;519.23;473.01;450.83;458.51;434.43;419.14;432.99;495.94
nov/03;404.58;429.75;457.90;543.51;431.53;414.79;470.08;423.65;365.22;405.99;396.56;392.07;409.49;448.81;375.83;424.91;433.63;387.59;500.70;520.07;473.29;450.98;458.86;437.57;420.81;433.59;496.97
dez/03;405.49;431.03;461.47;545.12;433.07;422.46;473.94;424.87;367.32;407.53;398.08;394.65;410.49;449.96;376.91;427.17;435.36;388.73;501.75;521.90;474.99;452.08;459.55;438.89;423.29;434.66;499.56
jan/04;409.36;433.24;461.78;547.48;437.28;424.16;476.84;433.61;377.91;408.03;399.45;395.60;411.78;450.99;378.35;427.93;437.30;393.42;503.90;523.59;477.00;453.79;463.70;440.43;427.78;436.27;500.35
fev/04;410.67;433.82;470.38;548.63;438.27;425.35;477.45;435.22;380.22;409.66;402.27;396.73;414.71;452.76;380.70;447.82;438.83;395.27;507.19;526.37;479.38;455.95;467.41;442.17;430.25;437.42;500.89
mar/04;412.78;435.88;471.75;553.61;441.64;427.58;479.14;436.45;380.46;412.01;405.80;399.18;417.23;454.39;383.59;451.10;440.19;398.24;530.17;527.64;480.74;459.44;475.16;444.76;437.24;439.73;502.08
